Name,Country.Code,Indicator.Name.x,Indicator.Code.x,X2019.x,gdpcap,Country.Name.y,Indicator.Name.y,Indicator.Code.y,X2019.y,urbpop,Country.Name.x.x,Indicator.Name.x.x,Indicator.Code.x.x,HealthExppCap,Country.Name.y.y,Indicator.Name.y.y,Indicator.Code.y.y,X2019,AirTransport,Country.Name.x.x.x,AgeDependancy,Country.Name.y.y.y,Indicator.Name.x.x.x,MilitaryEx,Country.Name.x.x.x.x,Indicator.Name.y.y.y,HospitalBeds,Country.Name.y.y.y.y,Indicator.Name,PovertyRate,WHO.Region,totalcases,Cases...cumulative.total.per.100000.population,Cases...newly.reported.in.last.7.days,Cases...newly.reported.in.last.7.days.per.100000.population,Cases...newly.reported.in.last.24.hours,totaldeaths,Deaths...cumulative.total.per.100000.population,Deaths...newly.reported.in.last.7.days,Deaths...newly.reported.in.last.7.days.per.100000.population,Deaths...newly.reported.in.last.24.hours,deathrate
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,54875.28596,51692.84,Australia,Urban population (% of total population),SP.URB.TOTL.IN.ZS,86.124,86.241,Australia,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,5427.462402,Australia,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,684170,273358.384,Australia,55.05194054,Australia,Military expenditure (% of GDP),2.063042777,Australia,"Hospital beds (per 1,000 people)",3.84,Australia,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),0.5,Western Pacific,5019012,19682.49,361963,1419.469,54146,6648,26.071,186,0.729,39,0.001324563479824316
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,50114.40111,48586.8,Austria,Urban population (% of total population),SP.URB.TOTL.IN.ZS,58.515,58.748,Austria,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,5242.183105,Austria,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,330226,121668,Austria,50.63910773,Austria,Military expenditure (% of GDP),0.836613874,Austria,"Hospital beds (per 1,000 people)",7.37,Austria,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),0.6,Europe,4065541,45674.776,84228,946.269,12566,16158,181.529,149,1.674,29,0.003974378809609841
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,4805.753718,4221.41,Azerbaijan,Urban population (% of total population),SP.URB.TOTL.IN.ZS,56.031,56.397,Azerbaijan,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,193.1088409,Azerbaijan,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,28974,11648,Azerbaijan,43.38338977,Azerbaijan,Military expenditure (% of GDP),5.390494994,Azerbaijan,"Hospital beds (per 1,000 people)",4.82,Azerbaijan,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),0,Europe,792305,7814.295,164,1.617,16,9704,95.708,3,0.03,1,0.01224780860905838
Burundi,BDI,GDP per capita (current US$),NY.GDP.PCAP.CD,228.2135892,238.99,Burundi,Urban population (% of total population),SP.URB.TOTL.IN.ZS,13.366,13.708,Burundi,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,20.56754112,Burundi,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,NA,NA,Burundi,90.95652981,Burundi,Military expenditure (% of GDP),1.97921599,Burundi,"Hospital beds (per 1,000 people)",0.79,Burundi,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),72.8,Africa,38722,325.647,59,0.496,0,15,0.126,0,0,0,3.8737668508858014e-4
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,46591.49161,45159.35,Belgium,Urban population (% of total population),SP.URB.TOTL.IN.ZS,98.041,98.079,Belgium,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,4960.393555,Belgium,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,137206.817,57072.125,Belgium,56.95681092,Belgium,Military expenditure (% of GDP),1.080842257,Belgium,"Hospital beds (per 1,000 people)",5.66,Belgium,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),0.1,Europe,3943831,34227.395,24552,213.08,0,31079,269.726,80,0.694,0,0.007880408668627027
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1219.515506,1291.04,Benin,Urban population (% of total population),SP.URB.TOTL.IN.ZS,47.861,48.415,Benin,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,29.12529182,Benin,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,NA,NA,Benin,82.55851512,Benin,Military expenditure (% of GDP),0.470634917,Benin,"Hospital beds (per 1,000 people)",0.5,Benin,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),19.2,Africa,26605,219.455,10,0.082,0,163,1.345,0,0,0,0.0061266679195639915
Burkina Faso,BFA,GDP per capita (current US$),NY.GDP.PCAP.CD,796.1152068,857.93,Burkina Faso,Urban population (% of total population),SP.URB.TOTL.IN.ZS,29.98,30.607,Burkina Faso,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,42.3445282,Burkina Faso,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,4105,1790,Burkina Faso,87.90397401,Burkina Faso,Military expenditure (% of GDP),2.733953813,Burkina Faso,"Hospital beds (per 1,000 people)",0.4,Burkina Faso,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),33.7,Africa,20865,99.817,0,0,0,383,1.832,0,0,0,0.018356098729930506
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,1855.740094,1961.61,Bangladesh,Urban population (% of total population),SP.URB.TOTL.IN.ZS,37.405,38.177,Bangladesh,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,45.85716248,Bangladesh,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,68351,42827.89,Bangladesh,47.01892285,Bangladesh,Military expenditure (% of GDP),1.301862862,Bangladesh,"Hospital beds (per 1,000 people)",0.79,Bangladesh,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),14.3,South-East Asia,1952197,1185.381,286,0.174,66,29124,17.684,1,0.001,0,0.014918576352693913
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,9879.268533,10079.2,Bulgaria,Urban population (% of total population),SP.URB.TOTL.IN.ZS,75.347,75.686,Bulgaria,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,697.8963623,Bulgaria,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,10111,6295,Bulgaria,56.61068912,Bulgaria,Military expenditure (% of GDP),1.82470414,Bulgaria,"Hospital beds (per 1,000 people)",7.45,Bulgaria,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),0.9,Europe,1147812,16511.76,4388,63.123,647,36756,528.751,101,1.453,16,0.03202266573271581
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,23551.93009,20409.95,Bahrain,Urban population (% of total population),SP.URB.TOTL.IN.ZS,89.394,89.506,Bahrain,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,940.3956909,Bahrain,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,57321,17591,Bahrain,26.47584588,Bahrain,Military expenditure (% of GDP),4.074397375,Bahrain,"Hospital beds (per 1,000 people)",1.74,Bahrain,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),NA,Eastern Mediterranean,561525,33000.309,3518,206.75,460,1473,86.567,1,0.059,0,0.0026232135701883263
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,6119.762345,6079.74,Bosnia and Herzegovina,Urban population (% of total population),SP.URB.TOTL.IN.ZS,48.626,49.02,Bosnia and Herzegovina,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,553.822937,Bosnia and Herzegovina,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,108,44,Bosnia and Herzegovina,48.01270067,Bosnia and Herzegovina,Military expenditure (% of GDP),0.875244991,Bosnia and Herzegovina,"Hospital beds (per 1,000 people)",3.49,Bosnia and Herzegovina,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),16.9,Europe,376339,11470.9,391,11.918,75,15744,479.881,16,0.488,2,0.04183462250789846
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,6837.717826,6424.15,Belarus,Urban population (% of total population),SP.URB.TOTL.IN.ZS,79.044,79.483,Belarus,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,399.3970947,Belarus,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,35741,16611,Belarus,48.85504808,Belarus,Military expenditure (% of GDP),1.25428103,Belarus,"Hospital beds (per 1,000 people)",10.83,Belarus,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),0,Europe,971649,10282.739,4831,51.125,899,6885,72.862,23,0.243,3,0.0070858921277127855
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,5078.809944,4115.18,Belize,Urban population (% of total population),SP.URB.TOTL.IN.ZS,45.866,46.025,Belize,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,293.4125977,Belize,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,141329,130792.986,Belize,51.99405206,Belize,Military expenditure (% of GDP),1.574830602,Belize,"Hospital beds (per 1,000 people)",1.04,Belize,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),NA,Americas,57314,14413.975,-4,-1.006,13,672,169.002,16,4.024,0,0.011724883972502355
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,117098.4463,107079.48,Bermuda,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100,100,Bermuda,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,NA,Bermuda,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,NA,NA,Bermuda,NA,Bermuda,Military expenditure (% of GDP),NA,Bermuda,"Hospital beds (per 1,000 people)",NA,Bermuda,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),NA,Americas,12864,20657.428,185,297.079,56,130,208.758,1,1.606,0,0.010105721393034827
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,3552.068143,3133.1,Bolivia,Urban population (% of total population),SP.URB.TOTL.IN.ZS,69.773,70.123,Bolivia,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,245.9234772,Bolivia,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,49931,31354,Bolivia,60.48828849,Bolivia,Military expenditure (% of GDP),1.57351874,Bolivia,"Hospital beds (per 1,000 people)",1.29,Bolivia,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),4.9,Americas,903584,7740.79,664,5.688,36,21899,187.604,2,0.017,0,0.02423571023833977
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,8897.552966,6796.84,Brazil,Urban population (% of total population),SP.URB.TOTL.IN.ZS,86.824,87.073,Brazil,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,853.3879395,Brazil,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,814301,393769,Brazil,43.47505641,Brazil,Military expenditure (% of GDP),1.439168226,Brazil,"Hospital beds (per 1,000 people)",2.09,Brazil,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),4.7,Americas,30183929,14200.231,143800,67.652,22724,661493,311.204,965,0.454,166,0.021915404054919423
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,18148.49785,15373.85,Barbados,Urban population (% of total population),SP.URB.TOTL.IN.ZS,31.158,31.191,Barbados,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,1143.322021,Barbados,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,NA,NA,Barbados,50.29104279,Barbados,Military expenditure (% of GDP),NA,Barbados,"Hospital beds (per 1,000 people)",5.97,Barbados,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),NA,Americas,62968,21911.44,2078,723.097,543,379,131.883,3,1.044,0,0.006018930250285859
Brunei Darussalam,BRN,GDP per capita (current US$),NY.GDP.PCAP.CD,31085.96193,27442.95,Brunei Darussalam,Urban population (% of total population),SP.URB.TOTL.IN.ZS,77.942,78.25,Brunei Darussalam,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,671.5626831,Brunei Darussalam,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,14091,4233,Brunei Darussalam,38.68493046,Brunei Darussalam,Military expenditure (% of GDP),4.080878304,Brunei Darussalam,"Hospital beds (per 1,000 people)",2.85,Brunei Darussalam,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),NA,Western Pacific,139278,31836.5,2039,466.08,217,157,35.887,1,0.229,0,0.0011272419190396187
Bhutan,BTN,GDP per capita (current US$),NY.GDP.PCAP.CD,3322.863329,3000.78,Bhutan,Urban population (% of total population),SP.URB.TOTL.IN.ZS,41.612,42.316,Bhutan,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,115.9807587,Bhutan,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,5067,1311,Bhutan,45.13615237,Bhutan,Military expenditure (% of GDP),NA,Bhutan,"Hospital beds (per 1,000 people)",1.74,Bhutan,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),1.5,South-East Asia,49066,6358.928,12017,1557.397,1879,15,1.944,3,0.389,1,3.0571067541678554e-4
Botswana,BWA,GDP per capita (current US$),NY.GDP.PCAP.CD,7203.064221,6404.9,Botswana,Urban population (% of total population),SP.URB.TOTL.IN.ZS,70.172,70.877,Botswana,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,481.5330505,Botswana,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,6533,0,Botswana,61.07186033,Botswana,Military expenditure (% of GDP),3.502285859,Botswana,"Hospital beds (per 1,000 people)",1.8,Botswana,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),14.5,Africa,305844,13005.634,20,0.85,0,2687,114.261,0,0,0,0.008785524646551838
Central African Republic,CAF,GDP per capita (current US$),NY.GDP.PCAP.CD,467.9080323,492.8,Central African Republic,Urban population (% of total population),SP.URB.TOTL.IN.ZS,41.77,42.198,Central African Republic,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,37.19958115,Central African Republic,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,NA,NA,Central African Republic,86.35807657,Central African Republic,Military expenditure (% of GDP),1.872148627,Central African Republic,"Hospital beds (per 1,000 people)",1,Central African Republic,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),NA,Africa,14354,297.199,0,0,0,113,2.34,0,0,0,0.007872370071060331
Canada,CAN,GDP per capita (current US$),NY.GDP.PCAP.CD,46338.34096,43294.65,Canada,Urban population (% of total population),SP.URB.TOTL.IN.ZS,81.482,81.562,Canada,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,5048.372559,Canada,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,1215983,511637,Canada,51.23928687,Canada,Military expenditure (% of GDP),1.415055841,Canada,"Hospital beds (per 1,000 people)",2.53,Canada,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),0.2,Americas,3590820,9514.083,54122,143.399,11090,38095,100.935,252,0.668,51,0.010608997387783292
Switzerland,CHE,GDP per capita (current US$),NY.GDP.PCAP.CD,85334.51946,87097.04,Switzerland,Urban population (% of total population),SP.URB.TOTL.IN.ZS,73.849,73.915,Switzerland,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,9666.337891,Switzerland,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,225755,81283.2,Switzerland,51.64421034,Switzerland,Military expenditure (% of GDP),0.778520639,Switzerland,"Hospital beds (per 1,000 people)",4.65,Switzerland,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),0,Europe,3551798,41039.339,23114,267.071,0,13087,151.214,18,0.208,0,0.0036846126947534742
Chile,CHL,GDP per capita (current US$),NY.GDP.PCAP.CD,14741.7144,13231.7,Chile,Urban population (% of total population),SP.URB.TOTL.IN.ZS,87.643,87.727,Chile,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,1375.802979,Chile,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,143964,72839,Chile,45.94574765,Chile,Military expenditure (% of GDP),1.853907407,Chile,"Hospital beds (per 1,000 people)",2.11,Chile,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),0.3,Americas,3518800,18407.423,22911,119.851,2922,57098,298.689,276,1.444,4,0.01622655450721837
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,10143.83817,10434.78,China,Urban population (% of total population),SP.URB.TOTL.IN.ZS,60.308,61.428,China,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,535.1333618,China,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,4963752,3667920,China,42.20722863,China,Military expenditure (% of GDP),1.749795773,China,"Hospital beds (per 1,000 people)",4.31,China,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),0.3,Western Pacific,954346,64.865,22181,1.508,4687,14440,0.981,489,0.033,62,0.015130780660263679
Cameroon,CMR,GDP per capita (current US$),NY.GDP.PCAP.CD,1533.095688,1537.13,Cameroon,Urban population (% of total population),SP.URB.TOTL.IN.ZS,56.968,57.56,Cameroon,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,53.99584961,Cameroon,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,2336,1169,Cameroon,81.09409198,Cameroon,Military expenditure (% of GDP),1.010443012,Cameroon,"Hospital beds (per 1,000 people)",1.5,Cameroon,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),26,Africa,119544,450.33,0,0,0,1927,7.259,0,0,0,0.016119587766847354
Colombia,COL,GDP per capita (current US$),NY.GDP.PCAP.CD,6424.979492,5334.56,Colombia,Urban population (% of total population),SP.URB.TOTL.IN.ZS,81.104,81.425,Colombia,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,495.3297119,Colombia,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,371985,139029.18,Colombia,45.44213103,Colombia,Military expenditure (% of GDP),3.375763519,Colombia,"Hospital beds (per 1,000 people)",1.7,Colombia,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),4.2,Americas,6088619,11965.945,2135,4.196,284,139729,274.609,51,0.1,4,0.022949210650231193
Comoros,COM,GDP per capita (current US$),NY.GDP.PCAP.CD,1401.542312,1420.66,Comoros,Urban population (% of total population),SP.URB.TOTL.IN.ZS,29.164,29.38,Comoros,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,72.32379913,Comoros,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,NA,NA,Comoros,72.78812891,Comoros,Military expenditure (% of GDP),NA,Comoros,"Hospital beds (per 1,000 people)",2.16,Comoros,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),19.1,Africa,8100,931.462,5,0.575,0,160,18.399,0,0,0,0.019753086419753086
Cabo Verde,CPV,GDP per capita (current US$),NY.GDP.PCAP.CD,3603.775241,3064.27,Cabo Verde,Urban population (% of total population),SP.URB.TOTL.IN.ZS,66.195,66.652,Cabo Verde,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,177.8902741,Cabo Verde,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,10205,5067.487,Cabo Verde,48.95860683,Cabo Verde,Military expenditure (% of GDP),0.590190723,Cabo Verde,"Hospital beds (per 1,000 people)",2.1,Cabo Verde,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),3.4,Africa,55978,10068.221,12,2.158,0,401,72.124,0,0,0,0.0071635285290649895
Costa Rica,CRI,GDP per capita (current US$),NY.GDP.PCAP.CD,12693.82796,12140.85,Costa Rica,Urban population (% of total population),SP.URB.TOTL.IN.ZS,80.076,80.771,Costa Rica,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,921.5857544,Costa Rica,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,44878,11696.8,Costa Rica,45.09813416,Costa Rica,Military expenditure (% of GDP),0,Costa Rica,"Hospital beds (per 1,000 people)",1.14,Costa Rica,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),1.5,Americas,844892,16585.639,3549,69.669,0,8357,164.052,30,0.589,0,0.009891205029755282
