Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Yemen,Eastern Mediterranean,11805,39.58,2,0.007,0,2143,7.185,1,0.003,0
Solomon Islands,Western Pacific,11470,1669.86,1044,151.991,296,133,19.363,4,0.582,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,11065,19224.421,69,119.881,0,33,57.334,1,1.737,0
Monaco,Europe,10758,27413.108,327,833.248,37,54,137.601,0,0,0
Saint Martin,Americas,9988,25836.157,49,126.749,0,44,113.816,0,0,0
Eritrea,Africa,9728,274.305,5,0.141,0,103,2.904,0,0,0
Sint Maarten,Americas,9698,22615.55,41,95.611,0,86,200.55,0,0,0
Niger,Africa,8801,36.358,2,0.008,0,308,1.272,0,0,0
Saint Vincent and the Grenadines,Americas,8335,7513.07,3,2.704,0,106,95.547,0,0,0
Guinea-Bissau,Africa,8149,414.075,24,1.22,0,170,8.638,1,0.051,0
Comoros,Africa,8086,929.852,8,0.92,0,160,18.399,0,0,0
Sierra Leone,Africa,7674,96.202,0,0,0,125,1.567,0,0,0
Antigua and Barbuda,Americas,7491,7649.419,9,9.19,0,135,137.855,0,0,0
Liberia,Africa,7400,146.312,3,0.059,0,294,5.813,0,0,0
Chad,Africa,7310,44.503,22,0.134,0,191,1.163,1,0.006,0
Bonaire,Americas,7191,34382.022,0,0,0,28,133.875,0,0,0
Tonga,Western Pacific,6423,6076.919,1551,1467.43,0,6,5.677,4,3.784,0
British Virgin Islands,Americas,6141,20309.555,37,122.367,0,62,205.047,0,0,0
Sao Tome and Principe,Africa,5945,2712.642,2,0.913,0,73,33.309,0,0,0
Turks and Caicos Islands,Americas,5910,15264.218,22,56.821,0,36,92.98,0,0,0
Saint Kitts and Nevis,Americas,5549,10432.02,1,1.88,0,43,80.839,1,1.88,0
Palau,Western Pacific,4024,22241.875,48,265.311,0,6,33.164,0,0,0
Saint Barthélemy,Americas,3883,39281.74,78,789.074,0,4,40.465,0,0,0
American Samoa,Western Pacific,3817,6915.231,1555,2817.182,0,4,7.247,3,5.435,0
Vanuatu,Western Pacific,3379,1100.132,1668,543.066,320,2,0.651,2,0.651,0
Kiribati,Western Pacific,3066,2566.786,5,4.186,1,13,10.883,0,0,0
Anguilla,Americas,2700,17997.6,67,446.607,0,9,59.992,0,0,0
Saint Pierre and Miquelon,Americas,2236,38584.987,306,5280.414,306,1,17.256,0,0,0
Cook Islands,Western Pacific,1986,11307.219,828,4714.188,103,0,0,0,0,0
Samoa,Western Pacific,1713,863.346,917,462.165,0,0,0,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Sint Eustatius,Americas,722,23000.956,95,3026.442,0,3,95.572,0,0,0
Wallis and Futuna,Western Pacific,453,4028.099,0,0,0,7,62.244,0,0,0
Saba,Americas,276,14278.324,55,2845.318,0,0,0,0,0,0
Montserrat,Americas,175,3500.7,1,20.004,0,2,40.008,0,0,0
Falkland Islands (Malvinas),Americas,124,3560.149,5,143.554,1,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Niue,Western Pacific,7,432.633,2,123.609,0,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.757,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
