Country Name,Country Code,AgeDependancy
Nigeria,NGA,85.96235196
Nicaragua,NIC,54.26898591
Netherlands,NLD,55.60927671
Norway,NOR,53.33583597
Nepal,NPL,52.99376863
Nauru,NRU,
New Zealand,NZL,55.76078712
OECD members,OED,54.5064446
Oman,OMN,33.32959102
Other small states,OSS,57.15667267
Pakistan,PAK,64.38774135
Panama,PAN,53.92563583
Peru,PER,50.18939111
Philippines,PHL,55.16945504
Palau,PLW,
Papua New Guinea,PNG,63.17895426
Poland,POL,51.4168588
Pre-demographic dividend,PRE,85.42120238
Puerto Rico,PRI,57.67810915
"Korea, Dem. People's Rep.",PRK,41.22695157
Portugal,PRT,55.82690416
Paraguay,PRY,55.53184034
West Bank and Gaza,PSE,71.16588334
Pacific island small states,PSS,65.71709309
Post-demographic dividend,PST,55.50654582
French Polynesia,PYF,45.54309755
Qatar,QAT,18.10328678
Romania,ROU,53.26025214
Russian Federation,RUS,51.22001981
Rwanda,RWA,74.19641566
South Asia,SAS,51.16779476
Saudi Arabia,SAU,39.26546726
Sudan,SDN,76.90814042
Senegal,SEN,84.1610699
Singapore,SGP,34.50390716
Solomon Islands,SLB,77.62305214
Sierra Leone,SLE,76.27656004
El Salvador,SLV,54.41997408
San Marino,SMR,
Somalia,SOM,96.27873345
Serbia,SRB,52.49855078
Sub-Saharan Africa (excluding high income),SSA,82.64496907
South Sudan,SSD,80.76822704
Sub-Saharan Africa,SSF,82.64185355
Small states,SST,56.07909656
Sao Tome and Principe,STP,81.0484837
Suriname,SUR,51.05845515
Slovak Republic,SVK,47.60727487
Slovenia,SVN,55.94342712
Sweden,SWE,61.16654504
Eswatini,SWZ,70.80953748
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,46.69835216
Syrian Arab Republic,SYR,55.39793075
Turks and Caicos Islands,TCA,
Chad,TCD,96.03567961
East Asia & Pacific (IDA & IBRD countries),TEA,44.15507634
Europe & Central Asia (IDA & IBRD countries),TEC,51.29779889
Togo,TGO,77.12079985
Thailand,THA,41.86456271
Tajikistan,TJK,67.9256043
Turkmenistan,TKM,55.18263305
Latin America & the Caribbean (IDA & IBRD countries),TLA,49.11123703
Timor-Leste,TLS,69.8226605
Middle East & North Africa (IDA & IBRD countries),TMN,58.30940372
Tonga,TON,68.59189077
South Asia (IDA & IBRD),TSA,51.16779476
Sub-Saharan Africa (IDA & IBRD countries),TSS,82.64185355
Trinidad and Tobago,TTO,46.14933958
Tunisia,TUN,49.61914184
Turkey,TUR,49.08267183
Tuvalu,TUV,
Tanzania,TZA,85.86675585
Uganda,UGA,92.31354613
Ukraine,UKR,49.11943575
Upper middle income,UMC,45.49690679
Uruguay,URY,54.85318328
United States,USA,53.85248134
Uzbekistan,UZB,50.57724418
St. Vincent and the Grenadines,VCT,46.65380091
"Venezuela, RB",VEN,54.40527785
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,65.97957463
Vietnam,VNM,45.05377171
Vanuatu,VUT,72.4699448
World,WLD,54.55467351
Samoa,WSM,73.25747917
Kosovo,XKX,
"Yemen, Rep.",YEM,71.7127743
South Africa,ZAF,52.23147889
Zambia,ZMB,85.69898248
Zimbabwe,ZWE,81.57149601
